year,geography,asian_nh,black_nh
2000-2002,Alameda,4.845,5.461
2003-2005,Alameda,4.473,6.038
2006-2008,Alameda,4.851,5.206
2009-2011,Alameda,5.001,7.13
2012-2014,Alameda,6.671,6.198
2015-2017,Alameda,6.13,7.228
2000-2002,Amador,NA,NA
2006-2008,Amador,NA,NA
2009-2011,Amador,NA,NA
2012-2014,Amador,NA,NA
2000-2002,Butte,NA,NA
2003-2005,Butte,NA,NA
2006-2008,Butte,NA,NA
2009-2011,Butte,NA,NA
2012-2014,Butte,NA,NA
2015-2017,Butte,NA,NA
2000-2002,Calaveras,NA,NA
2003-2005,Calaveras,NA,NA
2015-2017,Calaveras,NA,NA
2000-2002,Contra Costa,NA,4.474
2003-2005,Contra Costa,4.817,4.745
2006-2008,Contra Costa,4.954,NA
2009-2011,Contra Costa,6.912,5.981
2012-2014,Contra Costa,5.127,6.536
2015-2017,Contra Costa,6.39,6.054
2000-2002,Del Norte,NA,NA
2009-2011,Del Norte,NA,NA
2012-2014,Del Norte,NA,NA
2003-2005,El Dorado,NA,NA
2006-2008,El Dorado,NA,NA
2012-2014,El Dorado,NA,NA
2015-2017,El Dorado,NA,NA
2000-2002,Fresno,9.582,NA
2003-2005,Fresno,8.355,NA
2006-2008,Fresno,9.774,NA
2009-2011,Fresno,7.972,NA
2012-2014,Fresno,8.37,NA
2015-2017,Fresno,12.21,NA
2000-2002,Glenn,NA,NA
2015-2017,Glenn,NA,NA
2000-2002,Humboldt,NA,NA
2003-2005,Humboldt,NA,NA
2006-2008,Humboldt,NA,NA
2009-2011,Humboldt,NA,NA
2012-2014,Humboldt,NA,NA
2015-2017,Humboldt,NA,NA
2000-2002,Imperial,NA,NA
2003-2005,Imperial,NA,NA
2006-2008,Imperial,NA,NA
2009-2011,Imperial,NA,NA
2012-2014,Imperial,NA,NA
2015-2017,Imperial,NA,NA
2000-2002,Inyo,NA,NA
2000-2002,Kern,NA,NA
2003-2005,Kern,NA,NA
2006-2008,Kern,NA,NA
2009-2011,Kern,NA,NA
2012-2014,Kern,NA,7.74
2015-2017,Kern,10.22,7.534
2000-2002,Kings,NA,NA
2003-2005,Kings,NA,NA
2006-2008,Kings,NA,NA
2009-2011,Kings,NA,NA
2012-2014,Kings,NA,NA
2015-2017,Kings,NA,NA
2000-2002,Lake,NA,NA
2003-2005,Lake,NA,NA
2006-2008,Lake,NA,NA
2012-2014,Lake,NA,NA
2015-2017,Lake,NA,NA
2000-2002,Lassen,NA,NA
2009-2011,Lassen,NA,NA
2012-2014,Lassen,NA,NA
2015-2017,Lassen,NA,NA
2000-2002,Los Angeles,6.023,6.545
2003-2005,Los Angeles,5.941,5.404
2006-2008,Los Angeles,6.284,5.944
2009-2011,Los Angeles,7.431,5.764
2012-2014,Los Angeles,6.845,5.905
2015-2017,Los Angeles,7.305,6.372
2000-2002,Madera,NA,NA
2003-2005,Madera,NA,NA
2006-2008,Madera,NA,NA
2009-2011,Madera,NA,NA
2012-2014,Madera,NA,NA
2015-2017,Madera,NA,NA
2000-2002,Marin,NA,NA
2003-2005,Marin,NA,NA
2006-2008,Marin,NA,NA
2009-2011,Marin,NA,NA
2012-2014,Marin,NA,NA
2015-2017,Marin,NA,NA
2009-2011,Mariposa,NA,NA
2012-2014,Mariposa,NA,NA
2015-2017,Mariposa,NA,NA
2000-2002,Mendocino,NA,NA
2003-2005,Mendocino,NA,NA
2009-2011,Mendocino,NA,NA
2012-2014,Mendocino,NA,NA
2015-2017,Mendocino,NA,NA
2000-2002,Merced,NA,NA
2003-2005,Merced,NA,NA
2006-2008,Merced,NA,NA
2009-2011,Merced,19.78,NA
2012-2014,Merced,NA,NA
2015-2017,Merced,NA,NA
2000-2002,Monterey,NA,NA
2003-2005,Monterey,NA,NA
2006-2008,Monterey,NA,NA
2009-2011,Monterey,NA,NA
