Location,All Adults,White,Black,Hispanic,Asian/ Native Hawaiian or Pacific Islander,American Indian/ Alaska Native,Other
United States,4.3,4.4,4.5,3.9,3.1,5.9,6
Alabama,5.4,5.4,5.3,5.4,NSD,6.3,6.3
Alaska,3.9,3.7,NSD,NSD,NSD,3.9,5.2
Arizona,4.5,4.5,5,4.5,NSD,5.4,7.8
Arkansas,5.4,5.4,5.7,3.8,NSD,7.8,7.8
California,3.8,4.1,4.1,3.6,3.3,2.5,5.1
Colorado,4,4.1,5.4,3.4,2.9,4.2,4.3
Connecticut,3.8,3.8,3.8,3.9,2.8,6.9,4.8
Delaware,4.3,4.6,4,3.2,NSD,NSD,6.4
District of Columbia,4.2,3.6,4.7,3.8,3,NSD,6.2
Florida,4.4,4.6,4,4.2,2.9,NSD,5.6
Georgia,4.8,5.1,4.3,4.6,3.1,NSD,5.5
Hawaii,3.6,3.6,3.6,5.3,2.9,NSD,4.6
Idaho,4.3,4.3,NSD,4.3,NSD,NSD,NSD
Illinois,4.1,4.1,4.9,3.5,3.1,NSD,6.5
Indiana,4.6,4.7,4.4,2.9,NSD,9.6,6.2
Iowa,4,3.8,4.8,3.5,3.3,11.8,9.6
Kansas,4.4,4.1,5.2,5,3.6,7.9,7.4
Kentucky,5.3,5.3,4.2,4.8,NSD,10,7.7
Louisiana,5.5,5.1,5.8,7.2,NSD,5.2,8
Maine,4.3,4.2,NSD,4.5,NSD,11.9,6.5
Maryland,3.9,4.1,4,3.4,2.6,4.9,5.6
Massachusetts,4.1,4.3,4.2,3.7,2.6,NSD,5.4
Michigan,5,4.8,4.9,6.1,3.3,8,8.5
Minnesota,3.8,3.7,3.9,3.9,4.6,7.2,6.6
Mississippi,5.2,5.1,5.1,4.2,NSD,NSD,10.8
Missouri,4.7,4.4,5,6.2,3,7.5,8.4
Montana,4.4,4.2,NSD,5.4,2.8,5.7,7.5
Nebraska,3.7,3.7,3.6,3.5,2.8,6.6,6.8
Nevada,4.6,4.6,4.3,3.4,6.9,NSD,5.8
New Hampshire,4.4,4.3,NSD,8.1,NSD,9.5,5.8
New Jersey,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,4.6,4.3,2.6,4.8,NSD,4.8,5.6
New York,3.8,4,3.9,3.8,2.2,5.2,5
North Carolina,4.3,4.4,3.9,2.7,NSD,5.9,7.7
North Dakota,3.7,3.3,NSD,7.9,NSD,4.8,4.7
Ohio,5,5,4.6,6.1,NSD,NSD,7.1
Oklahoma,4.9,4.9,4.6,4,4.1,5.9,5.9
Oregon,4.4,4.3,5.6,4,3.4,4.5,6.7
Pennsylvania,4.4,4.1,5.1,5.4,2.9,NSD,7.5
Rhode Island,4.4,4.5,3.8,4.2,2.9,NSD,6.5
South Carolina,4.3,4.5,4,4.2,NSD,NSD,5.7
South Dakota,3.6,3.4,NSD,3.6,NSD,5.4,NSD
Tennessee,4.9,5,4.6,4.5,NSD,6.9,6.4
Texas,4,3.8,4.7,4.1,2.1,NSD,5.1
Utah,4.6,4.7,4,3.6,4.5,5,5.9
Vermont,4.5,4.4,NSD,7.8,NSD,NSD,6.2
Virginia,4,4.2,3.9,3.8,2.7,7.7,6
Washington,4.4,4.5,5.1,3.8,3.1,6.9,5.5
West Virginia,6.2,6.1,6.3,7.5,NSD,7.9,9.7
Wisconsin,4.2,4.2,5.3,3.7,NSD,8.4,4
Wyoming,4,3.7,NSD,5.9,NSD,NSD,5.6
Guam,4.3,3.7,NSD,3.7,4.4,NSD,4.7
Puerto Rico,3.5,NSD,NSD,3.5,NSD,NSD,NSD
U.S. Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A
