Location,All Adults,White,Black,Hispanic,Asian/ Native Hawaiian or Pacific Islander,American Indian/ Alaska Native,Other
United States,0.188,0.164,0.215,0.268,0.103,0.28,0.216
Alabama,0.227,0.22,0.256,0.132,NSD,0.339,0.211
Alaska,0.155,0.14,NSD,NSD,NSD,0.223,0.136
Arizona,0.19,0.161,0.191,0.244,NSD,0.291,0.223
Arkansas,0.252,0.249,0.268,0.227,NSD,0.246,0.305
California,0.182,0.127,0.185,0.278,0.095,0.15,0.159
Colorado,0.14,0.115,0.161,0.221,NSD,0.284,0.162
Connecticut,0.149,0.121,0.206,0.242,0.078,0.358,0.216
Delaware,0.187,0.164,0.226,0.305,NSD,NSD,0.17
District of Columbia,0.136,0.046,0.231,0.115,NSD,NSD,NSD
Florida,0.197,0.181,0.195,0.241,0.136,0.367,0.315
Georgia,0.2,0.194,0.199,0.268,NSD,NSD,0.161
Hawaii,0.162,0.111,0.214,0.207,0.167,NSD,0.196
Idaho,0.16,0.146,NSD,0.256,NSD,NSD,NSD
Illinois,0.177,0.144,0.221,0.3,0.069,NSD,0.259
Indiana,0.199,0.188,0.25,0.229,NSD,0.379,0.258
Iowa,0.144,0.137,0.157,0.228,NSD,0.29,0.213
Kansas,0.176,0.158,0.257,0.209,0.135,0.303,0.261
Kentucky,0.234,0.233,0.227,0.163,NSD,NSD,0.263
Louisiana,0.228,0.222,0.242,0.147,NSD,NSD,0.363
Maine,0.185,0.18,NSD,0.219,NSD,0.362,0.28
Maryland,0.147,0.129,0.161,0.228,0.104,0.299,0.161
Massachusetts,0.141,0.121,0.188,0.284,0.07,NSD,0.13
Michigan,0.189,0.174,0.266,0.198,NSD,0.269,0.207
Minnesota,0.138,0.12,0.203,0.283,0.134,0.297,0.197
Mississippi,0.236,0.22,0.255,NSD,NSD,0.378,0.374
Missouri,0.189,0.178,0.226,0.207,NSD,0.415,0.337
Montana,0.152,0.143,NSD,0.174,NSD,0.258,0.199
Nebraska,0.146,0.13,0.25,0.225,0.09,0.32,0.159
Nevada,0.209,0.18,0.164,0.252,0.257,NSD,0.306
New Hampshire,0.146,0.142,NSD,0.256,NSD,NSD,0.233
New Jersey,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,0.211,0.168,0.27,0.238,NSD,0.259,0.276
New York,0.173,0.127,0.201,0.302,0.098,0.304,0.267
North Carolina,0.194,0.175,0.216,0.258,NSD,0.314,0.246
North Dakota,0.139,0.13,NSD,0.23,NSD,0.276,NSD
Ohio,0.193,0.188,0.218,0.249,NSD,NSD,0.256
Oklahoma,0.219,0.203,0.243,0.259,NSD,0.266,0.279
Oregon,0.182,0.165,0.192,0.269,NSD,0.271,0.206
Pennsylvania,0.189,0.179,0.242,0.199,NSD,NSD,0.217
Rhode Island,0.171,0.159,0.119,0.242,NSD,NSD,0.262
South Carolina,0.189,0.183,0.217,0.128,NSD,NSD,0.17
South Dakota,0.16,0.148,NSD,NSD,NSD,0.353,NSD
Tennessee,0.216,0.212,0.253,0.129,NSD,0.311,0.278
Texas,0.212,0.164,0.209,0.289,0.08,NSD,0.162
Utah,0.144,0.129,NSD,0.241,0.089,0.173,0.135
Vermont,0.137,0.131,NSD,NSD,NSD,0.462,0.244
Virginia,0.17,0.152,0.224,0.232,0.066,0.3,0.184
Washington,0.162,0.153,0.178,0.226,0.11,0.307,0.184
West Virginia,0.266,0.26,0.287,NSD,NSD,0.539,0.323
Wisconsin,0.157,0.149,0.275,0.179,NSD,0.314,NSD
Wyoming,0.167,0.155,NSD,0.201,NSD,0.367,0.255
Guam,0.205,0.103,NSD,0.233,0.214,NSD,0.243
Puerto Rico,0.344,NSD,NSD,0.344,NSD,NSD,NSD
U.S. Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A
